English,US
SELECT_WEATHER_FOLDERS,"Select Weather Folders"
OLD,"Old:"
NEW,"New:"
CHOOSE,"Choose"
NEXT,"Next"
IMPORT_PROGRESS,"Import Progress"
THE_DIRECTORY,"The directory"
DOES_NOT_EXIST,"does not exist."
WEATHER_CYCLE_FILE_NOT_FOUND,"Weather cycle file not found."
IMPORTING_WEATHER,"Importing weather..."
IMPORTING_CUSTOM_WEATHER,"Importing custom weather..."
IMPORTING_WEATHER_CYCLE,"Importing weather cycle"
FAILED_TO_SAVE,"Failed to save"
FAILED_TO_IMPORT_WEATHER,"Failed to import weather"
FAILED_TO_IMPORT_WEATHER_CYCLE,"Failed to import weather cycle"
